"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2522378,53.4609306,-484228622747570432,18,0,2,0,0,0.5,1,1,2,2
-2.2525155,53.50767,-8523066058572685312,240,2,0,2,0,1,1.33333333333333,1.15470053837925,1.33333333333333,1.15470053837925
-2.2525422,53.5121642,2314513639405348352,164,0,1,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2506151,53.4411593,-7675963362233193472,71,1,0,0,0,0.25,0.25,0.5,1,2
-2.2507211,53.4591361,-719289685966638336,69,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2507582,53.465428,-8085232327441484800,67,0,2,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2509865,53.5040779,3399684597462979072,124,0,1,0,0,0.25,0.25,0.5,1,2
-2.2510024,53.5067744,-2557810717951219200,141,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2510822,53.5202568,1735569156278254336,102,0,1,0,0,0.25,0.25,0.5,1,2
-2.2511194,53.5265486,6596890291286632448,65,0,0,1,0,0.25,0.25,0.5,1,2
-2.2491413,53.4465555,-499528539499273472,70,0,0,0,1,0.25,0.25,0.5,1,2
-2.2491992,53.4564428,-1262665151373865216,97,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2494683,53.5022834,7610659751882740736,96,0,0,1,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2495581,53.5175635,8542566315400676352,130,0,0,0,2,0.5,1,1,2,2
-2.2476933,53.4564459,-7653867988964342784,97,0,0,1,0,0.25,0.25,0.5,1,2
-2.2477614,53.4681308,-6949652550291979264,180,1,2,0,3,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2477718,53.4699285,7308690779256961024,138,0,0,3,0,0.75,2.25,1.5,3,2
-2.2479869,53.5067807,8567002034274012160,48,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2480027,53.5094772,2689816657539828224,85,0,0,0,1,0.25,0.25,0.5,1,2
-2.2461665,53.4528537,5070807781310827520,99,1,0,1,2,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2461769,53.4546513,-3174668191766150656,43,0,0,1,0,0.25,0.25,0.5,1,2
-2.2461977,53.4582467,8907491340653719552,85,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2462029,53.4591455,1806973407087883008,36,0,0,0,2,0.5,1,1,2,2
-2.2464479,53.5013908,9046431901032484864,103,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2446141,53.4447672,-757688021104144640,55,0,0,0,1,0.25,0.25,0.5,1,2
-2.2447849,53.4744289,6122213781337848832,111,0,3,3,1,1.75,2.25,1.5,1.28571428571429,0.857142857142857
-2.2449559,53.5040904,-6798064982966678528,122,0,2,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2450597,53.522067,7283674546815244288,48,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2431805,53.457354,-9146397060401700864,90,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2432114,53.4627471,-8584255067675724800,72,0,1,0,0,0.25,0.25,0.5,1,2
-2.243268,53.4726343,3430661211339613696,300,2,2,1,2,1.75,0.25,0.5,0.142857142857143,0.285714285714286
-2.2415673,53.4384814,8680781882765784064,75,0,0,0,1,0.25,0.25,0.5,1,2
-2.2417563,53.4717385,-8856656228966393856,456,1,3,4,2,2.5,1.66666666666667,1.29099444873581,0.666666666666667,0.516397779494322
-2.2417717,53.474435,-5335441571831362560,361,0,1,1,2,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2401584,53.4555625,8135992453152823296,219,0,0,1,0,0.25,0.25,0.5,1,2
-2.2402244,53.4672474,3722726391797553664,209,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2402549,53.4726404,-4165283725814935040,391,1,3,1,2,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2386777,53.4600597,1507626098616324864,35,0,0,1,0,0.25,0.25,0.5,1,2
-2.2387635,53.4753399,-2367741057041241600,475,3,1,1,2,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2389405,53.5067991,-6928961369993944064,86,1,0,0,0,0.25,0.25,0.5,1,2
-2.2389607,53.5103944,6869085253351552000,212,1,0,0,0,0.25,0.25,0.5,1,2
-2.2371566,53.4573662,5301323720246155264,150,1,0,0,0,0.25,0.25,0.5,1,2
-2.2373121,53.4852301,1488031795549406976,88,0,1,0,0,0.25,0.25,0.5,1,2
-2.2373322,53.4888255,-1381244266462303488,48,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2356157,53.4510773,9004721890016331776,125,0,0,0,1,0.25,0.25,0.5,1,2
-2.2357503,53.4753459,-4785219550146097152,640,1,2,2,3,2,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863
-2.2357852,53.4816378,6679144152484280320,141,0,1,0,0,0.25,0.25,0.5,1,2
-2.23593,53.5077039,1653335463837167360,92,0,0,1,0,0.25,0.25,0.5,1,2
-2.2686801,53.44112,1561323099836115712,77,1,0,0,3,1,2,1.4142135623731,2,1.4142135623731
-2.2687482,53.4519061,592912121648589568,16,0,0,1,0,0.25,0.25,0.5,1,2
-2.2687539,53.4528049,4435147735059116544,95,0,4,0,0,1,4,2,4,2
-2.2688334,53.4653887,-8738292539663768576,226,5,4,4,2,3.75,1.58333333333333,1.25830573921179,0.422222222222222,0.335548197123144
